Movie_Title,Year,Director,Actors,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,source_row_id,movie_title,release_year,decade,director_clean,lead_actor,actor_2,actor_3,actor_4,imdb_rating_10,runtime_minutes,runtime_bucket,censor_rating_clean,gross_usd_millions,gross_bucket,all_genres,main_genre_clean,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_sci_fi,genre_sport,genre_thriller,genre_war,genre_western,preference_action_score,preference_comedy_score,preference_drama_score,preference_sci_fi_score,preference_romance_score,preference_documentary_score,rating_score,recency_score,length_score,popularity_score,family_friendly_score,director_dataset_popularity_score,actor_dataset_popularity_score,mood_relax,mood_funny,mood_emotional,mood_adrenaline,mood_mind_bending,overview_clean,recommendation_explanation_base,data_source_note
Kantara,2022,Rishab Shetty,"Rishab Shetty, Sapthami Gowda, Kishore Kumar G., Achyuth Kumar",9.3,148,UA,Gross Unkown,Action," Adventure,  Drama",1,Kantara,2022,2020s,Rishab Shetty,Rishab Shetty,Sapthami Gowda,Kishore Kumar G.,Achyuth Kumar,9.3,148,Long,UA,,Unknown,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.93,1.0,0.683,0.0,0.75,0.1,0.167,0.302,0.206,0.831,0.72,0.444,"Kantara is a 2022 Action, Adventure, Drama film directed by Rishab Shetty and starring Rishab Shetty, Sapthami Gowda, Kishore Kumar G.. IMDb rating: 9.3/10, runtime: 148 minutes.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",9.0,152,UA,$534.86M,Action," Crime,  Drama",2,The Dark Knight,2008,2000s,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,9.0,152,Long,UA,534.86,Blockbuster,"Action, Crime, Drama",Action,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.9,0.863,0.65,0.918,0.75,1.0,1.0,0.297,0.203,0.828,0.788,0.28,"The Dark Knight is a 2008 Action, Crime, Drama film directed by Christopher Nolan and starring Christian Bale, Heath Ledger, Aaron Eckhart. IMDb rating: 9.0/10, runtime: 152 minutes, reported gross: $534.86M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",9.0,201,U,$377.85M,Action," Adventure,  Drama",3,The Lord of the Rings: The Return of the King,2003,2000s,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,9.0,201,Epic,U,377.85,High,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.9,0.814,0.242,0.868,1.0,0.9,1.0,0.274,0.24,0.828,0.85,0.438,"The Lord of the Rings: The Return of the King is a 2003 Action, Adventure, Drama film directed by Peter Jackson and starring Elijah Wood, Viggo Mortensen, Ian McKellen. IMDb rating: 9.0/10, runtime: 201 minutes, reported gross: $377.85M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",8.8,148,UA,$292.58M,Action," Adventure,  Sci-Fi",4,Inception,2010,2010s,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,8.8,148,Long,UA,292.58,High,"Action, Adventure, Sci-Fi",Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.88,0.882,0.683,0.83,0.75,1.0,1.0,0.215,0.201,0.088,0.975,0.626,"Inception is a 2010 Action, Adventure, Sci-Fi film directed by Christopher Nolan and starring Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page. IMDb rating: 8.8/10, runtime: 148 minutes, reported gross: $292.58M.",high IMDb rating; strong action/adventure signal; strong sci-fi signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",8.8,179,UA,$342.55M,Action," Adventure,  Drama",5,The Lord of the Rings: The Two Towers,2002,2000s,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,8.8,179,Epic,UA,342.55,High,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.88,0.804,0.425,0.853,0.75,0.9,1.0,0.264,0.201,0.826,0.848,0.433,"The Lord of the Rings: The Two Towers is a 2002 Action, Adventure, Drama film directed by Peter Jackson and starring Elijah Wood, Ian McKellen, Viggo Mortensen. IMDb rating: 8.8/10, runtime: 179 minutes, reported gross: $342.55M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",8.8,178,U,$315.54M,Action," Adventure,  Drama",6,The Lord of the Rings: The Fellowship of the Ring,2001,2000s,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,8.8,178,Epic,U,315.54,High,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.88,0.794,0.433,0.841,1.0,0.9,1.0,0.302,0.238,0.826,0.846,0.433,"The Lord of the Rings: The Fellowship of the Ring is a 2001 Action, Adventure, Drama film directed by Peter Jackson and starring Elijah Wood, Ian McKellen, Orlando Bloom. IMDb rating: 8.8/10, runtime: 178 minutes, reported gross: $315.54M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Matrix,1999,"Directors:Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",8.7,136,A,$171.48M,Action, Sci-Fi,7,The Matrix,1999,1990s,"Directors:Lana Wachowski, Lilly Wachowski",Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,8.7,136,Long,A,171.48,High,"Action, Sci-Fi",Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.87,0.775,0.783,0.753,0.25,0.6,1.0,0.155,0.124,0.087,0.963,0.624,"The Matrix is a 1999 Action, Sci-Fi film directed by Directors:Lana Wachowski, Lilly Wachowski and starring Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss. IMDb rating: 8.7/10, runtime: 136 minutes, reported gross: $171.48M.",high IMDb rating; strong action/adventure signal; strong sci-fi signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Empire Strikes Back,1980,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",8.7,124,UA,$290.48M,Action," Adventure,  Fantasy",8,The Empire Strikes Back,1980,1980s,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,8.7,124,Standard,UA,290.48,High,"Action, Adventure, Fantasy",Action,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.65,0.0,0.0,0.87,0.588,0.883,0.829,0.75,0.3,1.0,0.245,0.2,0.087,0.904,0.467,"The Empire Strikes Back is a 1980 Action, Adventure, Fantasy film directed by Irvin Kershner and starring Mark Hamill, Harrison Ford, Carrie Fisher. IMDb rating: 8.7/10, runtime: 124 minutes, reported gross: $290.48M.",high IMDb rating; strong action/adventure signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",8.6,137,A,$204.84M,Action, Sci-Fi,9,Terminator 2: Judgment Day,1991,1990s,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,8.6,137,Long,A,204.84,High,"Action, Sci-Fi",Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.86,0.696,0.775,0.778,0.25,0.7,1.0,0.154,0.123,0.086,0.967,0.622,"Terminator 2: Judgment Day is a 1991 Action, Sci-Fi film directed by James Cameron and starring Arnold Schwarzenegger, Linda Hamilton, Edward Furlong. IMDb rating: 8.6/10, runtime: 137 minutes, reported gross: $204.84M.",high IMDb rating; strong action/adventure signal; strong sci-fi signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Star Wars,1977,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",8.6,121,U,$322.74M,Action," Adventure,  Fantasy",10,Star Wars,1977,1970s,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,8.6,121,Standard,U,322.74,High,"Action, Adventure, Fantasy",Action,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.65,0.0,0.0,0.86,0.559,0.908,0.845,1.0,0.6,1.0,0.286,0.236,0.086,0.907,0.465,"Star Wars is a 1977 Action, Adventure, Fantasy film directed by George Lucas and starring Mark Hamill, Harrison Ford, Carrie Fisher. IMDb rating: 8.6/10, runtime: 121 minutes, reported gross: $322.74M.",high IMDb rating; strong action/adventure signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Seppuku,1962,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",8.6,133,Not Rated,Gross Unkown,Action," Drama,  Mystery",11,Seppuku,1962,1960s,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,8.6,133,Long,Not Rated,,Unknown,"Action, Drama, Mystery",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.86,0.412,0.808,0.0,0.5,0.1,0.5,0.284,0.161,0.824,0.72,0.679,"Seppuku is a 1962 Action, Drama, Mystery film directed by Masaki Kobayashi and starring Tatsuya Nakadai, Akira Ishihama, Shima Iwashita. IMDb rating: 8.6/10, runtime: 133 minutes.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Shichinin no samurai,1954,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",8.6,207,U,$0.27M,Action, Drama,12,Shichinin no samurai,1954,1950s,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,8.6,207,Epic,U,0.27,Low,"Action, Drama",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.86,0.333,0.192,0.035,1.0,1.0,0.583,0.266,0.236,0.824,0.655,0.272,"Shichinin no samurai is a 1954 Action, Drama film directed by Akira Kurosawa and starring Toshirô Mifune, Takashi Shimura, Keiko Tsushima. IMDb rating: 8.6/10, runtime: 207 minutes, reported gross: $0.27M.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Kaithi,2019,Lokesh Kanagaraj,"Karthi, Narain, Arjun Das, George Maryan",8.5,145,UA,Gross Unkown,Action," Adventure,  Crime",13,Kaithi,2019,2010s,Lokesh Kanagaraj,Karthi,Narain,Arjun Das,George Maryan,8.5,145,Long,UA,,Unknown,"Action, Adventure, Crime",Action,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.45,0.35,0.0,0.0,0.85,0.971,0.708,0.0,0.75,0.3,0.167,0.219,0.198,0.378,0.72,0.372,"Kaithi is a 2019 Action, Adventure, Crime film directed by Lokesh Kanagaraj and starring Karthi, Narain, Arjun Das. IMDb rating: 8.5/10, runtime: 145 minutes.",high IMDb rating; strong action/adventure signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Asuran,2019,Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy",8.5,141,UA,Gross Unkown,Action, Drama,14,Asuran,2019,2010s,Vetrimaaran,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,8.5,141,Long,UA,,Unknown,"Action, Drama",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.85,0.971,0.742,0.0,0.75,0.1,0.25,0.311,0.198,0.823,0.65,0.27,"Asuran is a 2019 Action, Drama film directed by Vetrimaaran and starring Dhanush, Manju Warrier, Prakash Raj. IMDb rating: 8.5/10, runtime: 141 minutes.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Sita Ramam,2022,Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth",8.5,163,U,Gross Unkown,Action," Drama,  Mystery",15,Sita Ramam,2022,2020s,Hanu Raghavapudi,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,8.5,163,Long,U,,Unknown,"Action, Drama, Mystery",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.85,1.0,0.558,0.0,1.0,0.1,0.333,0.321,0.235,0.823,0.72,0.677,"Sita Ramam is a 2022 Action, Drama, Mystery film directed by Hanu Raghavapudi and starring Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna. IMDb rating: 8.5/10, runtime: 163 minutes.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Gladiator,2000,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",8.5,155,UA,$187.71M,Action," Adventure,  Drama",16,Gladiator,2000,2000s,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,8.5,155,Long,UA,187.71,High,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.85,0.784,0.625,0.766,0.75,1.0,1.0,0.294,0.198,0.823,0.835,0.427,"Gladiator is a 2000 Action, Adventure, Drama film directed by Ridley Scott and starring Russell Crowe, Joaquin Phoenix, Connie Nielsen. IMDb rating: 8.5/10, runtime: 155 minutes, reported gross: $187.71M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Léon,1994,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",8.5,110,A,$19.50M,Action," Crime,  Drama",17,Léon,1994,1990s,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,8.5,110,Standard,A,19.5,Low,"Action, Crime, Drama",Action,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.85,0.725,1.0,0.441,0.25,1.0,1.0,0.275,0.122,0.823,0.716,0.27,"Léon is a 1994 Action, Crime, Drama film directed by Luc Besson and starring Jean Reno, Gary Oldman, Natalie Portman. IMDb rating: 8.5/10, runtime: 110 minutes, reported gross: $19.50M.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Vikram,2022,Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain",8.4,175,UA,Gross Unkown,Action, Thriller,18,Vikram,2022,2020s,Lokesh Kanagaraj,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,8.4,175,Epic,UA,,Unknown,"Action, Thriller",Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.84,1.0,0.458,0.0,0.75,0.3,0.333,0.181,0.197,0.084,0.65,0.318,"Vikram is a 2022 Action, Thriller film directed by Lokesh Kanagaraj and starring Kamal Haasan, Vijay Sethupathi, Fahadh Faasil. IMDb rating: 8.4/10, runtime: 175 minutes.",high IMDb rating; strong action/adventure signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Spider-Man: Into the Spider-Verse,2018,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",8.4,117,U,$190.24M,Animation," Action,  Adventure",19,Spider-Man: Into the Spider-Verse,2018,2010s,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,8.4,117,Standard,U,190.24,High,"Animation, Action, Adventure",Animation,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.35,0.0,0.35,0.0,0.0,0.84,0.961,0.942,0.768,1.0,0.1,0.667,0.449,0.496,0.084,0.835,0.326,"Spider-Man: Into the Spider-Verse is a 2018 Animation, Action, Adventure film directed by Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman and starring Shameik Moore, Jake Johnson, Hailee Steinfeld. IMDb rating: 8.4/10, runtime: 117 minutes, reported gross: $190.24M.",high IMDb rating; strong action/adventure signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Avengers: Endgame,2019,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",8.4,181,UA,$858.37M,Action," Adventure,  Drama",20,Avengers: Endgame,2019,2010s,"Directors:Anthony Russo, Joe Russo",Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,8.4,181,Epic,UA,858.37,Blockbuster,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.84,0.971,0.408,0.987,0.75,0.7,1.0,0.261,0.197,0.822,0.868,0.425,"Avengers: Endgame is a 2019 Action, Adventure, Drama film directed by Directors:Anthony Russo, Joe Russo and starring Robert Downey Jr., Chris Evans, Mark Ruffalo. IMDb rating: 8.4/10, runtime: 181 minutes, reported gross: $858.37M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Avengers: Infinity War,2018,"Directors:Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",8.4,149,UA,$678.82M,Action," Adventure,  Sci-Fi",21,Avengers: Infinity War,2018,2010s,"Directors:Anthony Russo, Joe Russo",Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,8.4,149,Long,UA,678.82,Blockbuster,"Action, Adventure, Sci-Fi",Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.84,0.961,0.675,0.953,0.75,0.7,1.0,0.214,0.197,0.084,0.993,0.618,"Avengers: Infinity War is a 2018 Action, Adventure, Sci-Fi film directed by Directors:Anthony Russo, Joe Russo and starring Robert Downey Jr., Chris Hemsworth, Mark Ruffalo. IMDb rating: 8.4/10, runtime: 149 minutes, reported gross: $678.82M.",high IMDb rating; strong action/adventure signal; strong sci-fi signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Top Gun: Maverick,2022,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",8.4,130,UA,Gross Unkown,Action, Drama,22,Top Gun: Maverick,2022,2020s,Joseph Kosinski,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,8.4,130,Standard,UA,,Unknown,"Action, Drama",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.84,1.0,0.833,0.0,0.75,0.5,1.0,0.325,0.197,0.822,0.65,0.268,"Top Gun: Maverick is a 2022 Action, Drama film directed by Joseph Kosinski and starring Tom Cruise, Jennifer Connelly, Miles Teller. IMDb rating: 8.4/10, runtime: 130 minutes.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Dark Knight Rises,2012,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",8.4,164,UA,$448.14M,Action, Drama,23,The Dark Knight Rises,2012,2010s,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,8.4,164,Long,UA,448.14,High,"Action, Drama",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.84,0.902,0.55,0.892,0.75,1.0,1.0,0.282,0.197,0.822,0.784,0.268,"The Dark Knight Rises is a 2012 Action, Drama film directed by Christopher Nolan and starring Christian Bale, Tom Hardy, Anne Hathaway. IMDb rating: 8.4/10, runtime: 164 minutes, reported gross: $448.14M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
K.G.F: Chapter 2,2022,Prashanth Neel,"Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty",8.4,168,UA,Gross Unkown,Action," Crime,  Drama",24,K.G.F: Chapter 2,2022,2020s,Prashanth Neel,Yash,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,8.4,168,Long,UA,,Unknown,"Action, Crime, Drama",Action,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.84,1.0,0.517,0.0,0.75,0.2,0.583,0.278,0.197,0.822,0.65,0.268,"K.G.F: Chapter 2 is a 2022 Action, Crime, Drama film directed by Prashanth Neel and starring Yash, Sanjay Dutt, Raveena Tandon. IMDb rating: 8.4/10, runtime: 168 minutes.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Shershaah,2021,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri",8.4,135,UA,Gross Unkown,Action," Biography,  Drama",25,Shershaah,2021,2020s,Vishnuvardhan,Sidharth Malhotra,Kiara Advani,Shiv Panditt,Pranay Pachauri,8.4,135,Long,UA,,Unknown,"Action, Biography, Drama",Action,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.65,0.84,0.99,0.792,0.0,0.75,0.1,0.5,0.319,0.197,0.822,0.65,0.268,"Shershaah is a 2021 Action, Biography, Drama film directed by Vishnuvardhan and starring Sidharth Malhotra, Kiara Advani, Shiv Panditt. IMDb rating: 8.4/10, runtime: 135 minutes.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Oldeuboi,2003,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok",8.4,101,A,$0.71M,Action," Drama,  Mystery",26,Oldeuboi,2003,2000s,Park Chan-wook,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,8.4,101,Standard,A,0.71,Low,"Action, Drama, Mystery",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.84,0.814,0.925,0.078,0.25,0.7,0.25,0.264,0.121,0.822,0.732,0.675,"Oldeuboi is a 2003 Action, Drama, Mystery film directed by Park Chan-wook and starring Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong. IMDb rating: 8.4/10, runtime: 101 minutes, reported gross: $0.71M.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Mononoke-hime,1997,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",8.4,134,U,$2.38M,Animation," Action,  Adventure",27,Mononoke-hime,1997,1990s,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,8.4,134,Long,U,2.38,Low,"Animation, Action, Adventure",Animation,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.35,0.0,0.35,0.0,0.0,0.84,0.755,0.8,0.178,1.0,1.0,0.583,0.427,0.496,0.084,0.747,0.326,"Mononoke-hime is a 1997 Animation, Action, Adventure film directed by Hayao Miyazaki and starring Yôji Matsuda, Yuriko Ishida, Yûko Tanaka. IMDb rating: 8.4/10, runtime: 134 minutes, reported gross: $2.38M.",high IMDb rating; strong action/adventure signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Aliens,1986,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",8.4,137,U,$85.16M,Action," Adventure,  Sci-Fi",28,Aliens,1986,1980s,James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,8.4,137,Long,U,85.16,Medium,"Action, Adventure, Sci-Fi",Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.84,0.647,0.775,0.651,1.0,0.7,1.0,0.266,0.234,0.084,0.948,0.618,"Aliens is a 1986 Action, Adventure, Sci-Fi film directed by James Cameron and starring Sigourney Weaver, Michael Biehn, Carrie Henn. IMDb rating: 8.4/10, runtime: 137 minutes, reported gross: $85.16M.",high IMDb rating; strong action/adventure signal; strong sci-fi signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
