Movie_Title,Year,Director,Actors,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,source_row_id,movie_title,release_year,decade,director_clean,lead_actor,actor_2,actor_3,actor_4,imdb_rating_10,runtime_minutes,runtime_bucket,censor_rating_clean,gross_usd_millions,gross_bucket,all_genres,main_genre_clean,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_sci_fi,genre_sport,genre_thriller,genre_war,genre_western,preference_action_score,preference_comedy_score,preference_drama_score,preference_sci_fi_score,preference_romance_score,preference_documentary_score,rating_score,recency_score,length_score,popularity_score,family_friendly_score,director_dataset_popularity_score,actor_dataset_popularity_score,mood_relax,mood_funny,mood_emotional,mood_adrenaline,mood_mind_bending,overview_clean,recommendation_explanation_base,data_source_note
Mosul,2019,Matthew Michael Carnahan,"Waleed Elgadi, Suhail Dabbach, Adam Bessa, Is'haq Elias",7.1,86,18,Gross Unkown,Action," Drama,  War",414,Mosul,2019,2010s,Matthew Michael Carnahan,Waleed Elgadi,Suhail Dabbach,Adam Bessa,Is'haq Elias,7.1,86,Short,18,,Unknown,"Action, Drama, War",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.35,0.0,0.71,0.971,0.8,0.0,0.5,0.1,0.083,0.282,0.146,0.808,0.65,0.242,"Mosul is a 2019 Action, Drama, War film directed by Matthew Michael Carnahan and starring Waleed Elgadi, Suhail Dabbach, Adam Bessa. IMDb rating: 7.1/10, runtime: 86 minutes.",strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Black Adam,2022,Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Pierce Brosnan, Noah Centineo",7.1,124,UA,Gross Unkown,Action," Adventure,  Fantasy",415,Black Adam,2022,2020s,Jaume Collet-Serra,Dwayne Johnson,Aldis Hodge,Pierce Brosnan,Noah Centineo,7.1,124,Standard,UA,,Unknown,"Action, Adventure, Fantasy",Action,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.65,0.0,0.0,0.71,1.0,0.883,0.0,0.75,0.9,1.0,0.245,0.183,0.071,0.78,0.434,"Black Adam is a 2022 Action, Adventure, Fantasy film directed by Jaume Collet-Serra and starring Dwayne Johnson, Aldis Hodge, Pierce Brosnan. IMDb rating: 7.1/10, runtime: 124 minutes.",strong action/adventure signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Free Guy,2021,Shawn Levy,"Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery",7.1,115,UA,$121.63M,Action," Adventure,  Comedy",416,Free Guy,2021,2020s,Shawn Levy,Ryan Reynolds,Jodie Comer,Taika Waititi,Lil Rel Howery,7.1,115,Standard,UA,121.63,Medium,"Action, Adventure, Comedy",Action,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.35,0.25,0.0,0.71,0.99,0.958,0.703,0.75,1.0,1.0,0.769,0.933,0.134,0.825,0.299,"Free Guy is a 2021 Action, Adventure, Comedy film directed by Shawn Levy and starring Ryan Reynolds, Jodie Comer, Taika Waititi. IMDb rating: 7.1/10, runtime: 115 minutes, reported gross: $121.63M.",strong action/adventure signal; strong comedy signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Brawl in Cell Block 99,2017,S. Craig Zahler,"Vince Vaughn, Jennifer Carpenter, Don Johnson, Udo Kier",7.1,132,18,Gross Unkown,Action," Crime,  Drama",417,Brawl in Cell Block 99,2017,2010s,S. Craig Zahler,Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier,7.1,132,Long,18,,Unknown,"Action, Crime, Drama",Action,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.71,0.951,0.817,0.0,0.5,0.3,1.0,0.285,0.146,0.808,0.65,0.242,"Brawl in Cell Block 99 is a 2017 Action, Crime, Drama film directed by S. Craig Zahler and starring Vince Vaughn, Jennifer Carpenter, Don Johnson. IMDb rating: 7.1/10, runtime: 132 minutes.",strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Kaabil,2017,Sanjay Gupta,"Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy",7.1,139,UA,Gross Unkown,Action," Crime,  Drama",418,Kaabil,2017,2010s,Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy,Rohit Roy,7.1,139,Long,UA,,Unknown,"Action, Crime, Drama",Action,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.71,0.951,0.758,0.0,0.75,0.1,0.583,0.314,0.183,0.808,0.65,0.242,"Kaabil is a 2017 Action, Crime, Drama film directed by Sanjay Gupta and starring Hrithik Roshan, Yami Gautam, Ronit Roy. IMDb rating: 7.1/10, runtime: 139 minutes.",strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Allied,2016,Robert Zemeckis,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim",7.1,124,18,$40.10M,Action," Drama,  Romance",419,Allied,2016,2010s,Robert Zemeckis,Brad Pitt,Marion Cotillard,Jared Harris,Vincent Ebrahim,7.1,124,Standard,18,40.1,Low,"Action, Drama, Romance",Action,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.25,1.0,0.0,1.0,0.0,0.71,0.941,0.883,0.543,0.5,1.0,1.0,0.57,0.334,0.971,0.731,0.242,"Allied is a 2016 Action, Drama, Romance film directed by Robert Zemeckis and starring Brad Pitt, Marion Cotillard, Jared Harris. IMDb rating: 7.1/10, runtime: 124 minutes, reported gross: $40.10M.",strong action/adventure signal; strong drama signal; strong romance signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
American Made,2017,Doug Liman,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons",7.1,114,A,$51.34M,Action," Comedy,  Crime",420,American Made,2017,2010s,Doug Liman,Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons,7.1,114,Standard,A,51.34,Medium,"Action, Comedy, Crime",Action,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.45,0.0,0.25,0.0,0.71,0.951,0.967,0.578,0.25,1.0,1.0,0.695,0.858,0.426,0.737,0.187,"American Made is a 2017 Action, Comedy, Crime film directed by Doug Liman and starring Tom Cruise, Domhnall Gleeson, Sarah Wright. IMDb rating: 7.1/10, runtime: 114 minutes, reported gross: $51.34M.",strong action/adventure signal; strong comedy signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Fast & Furious 7,2015,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham",7.1,137,A,$353.01M,Action," Crime,  Thriller",421,Fast & Furious 7,2015,2010s,James Wan,Vin Diesel,Paul Walker,Dwayne Johnson,Jason Statham,7.1,137,Long,A,353.01,High,"Action, Crime, Thriller",Action,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.45,0.0,0.0,0.0,0.71,0.931,0.775,0.858,0.25,1.0,1.0,0.154,0.108,0.364,0.779,0.337,"Fast & Furious 7 is a 2015 Action, Crime, Thriller film directed by James Wan and starring Vin Diesel, Paul Walker, Dwayne Johnson. IMDb rating: 7.1/10, runtime: 137 minutes, reported gross: $353.01M.",strong action/adventure signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Everest,2015,Baltasar Kormákur,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson",7.1,121,UA,$43.48M,Action," Adventure,  Biography",422,Everest,2015,2010s,Baltasar Kormákur,Jason Clarke,Ang Phula Sherpa,Thomas M. Wright,Martin Henderson,7.1,121,Standard,UA,43.48,Low,"Action, Adventure, Biography",Action,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.8,0.35,0.0,0.65,0.71,0.931,0.908,0.555,0.75,0.4,0.917,0.249,0.183,0.591,0.803,0.38,"Everest is a 2015 Action, Adventure, Biography film directed by Baltasar Kormákur and starring Jason Clarke, Ang Phula Sherpa, Thomas M. Wright. IMDb rating: 7.1/10, runtime: 121 minutes, reported gross: $43.48M.",strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Kraftidioten,2014,Hans Petter Moland,"Stellan Skarsgård, Bruno Ganz, Pål Sverre Hagen, Jakob Oftebro",7.1,116,R,$0.05M,Action," Comedy,  Crime",423,Kraftidioten,2014,2010s,Hans Petter Moland,Stellan Skarsgård,Bruno Ganz,Pål Sverre Hagen,Jakob Oftebro,7.1,116,Standard,R,0.05,Low,"Action, Comedy, Crime",Action,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.45,0.0,0.25,0.0,0.71,0.922,0.95,0.007,0.25,0.2,1.0,0.692,0.858,0.426,0.651,0.187,"Kraftidioten is a 2014 Action, Comedy, Crime film directed by Hans Petter Moland and starring Stellan Skarsgård, Bruno Ganz, Pål Sverre Hagen. IMDb rating: 7.1/10, runtime: 116 minutes, reported gross: $0.05M.",strong action/adventure signal; strong comedy signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
